Year,Temp
2009,51.458696721311455
2010,51.66959836065577
2011,51.107966942148764
2012,53.67164754098368
2013,52.04847540983603
2014,52.79624590163931
2015,53.7472231404959
2016,53.356270491803336
2017,53.16361475409839
2018,52.91655940594054
