Park,Year,Month,Visits
Yosemite National Park,2011,5,356588
Yosemite National Park,2011,6,503741
Yosemite National Park,2011,7,704553
Yosemite National Park,2011,8,699749
Yosemite National Park,2011,9,533502
Yosemite National Park,2011,10,360449
Yosemite National Park,2011,11,139079
Yosemite National Park,2011,12,127621
Yosemite National Park,2010,1,96089
Yosemite National Park,2010,2,100379
Yosemite National Park,2010,3,149651
Yosemite National Park,2010,4,224461
Yosemite National Park,2010,5,382414
Yosemite National Park,2010,6,521059
Yosemite National Park,2010,7,643566
Yosemite National Park,2010,8,659857
Yosemite National Park,2010,9,520210
Yosemite National Park,2010,10,356370
Yosemite National Park,2010,11,148459
Yosemite National Park,2010,12,98893
Yosemite National Park,2009,1,101984
Yosemite National Park,2009,2,78795
Yosemite National Park,2009,3,132711
Yosemite National Park,2009,4,230828
Yosemite National Park,2009,5,399683
Yosemite National Park,2009,6,483382
Yosemite National Park,2009,7,586591
Yosemite National Park,2009,8,643300
Yosemite National Park,2009,9,471530
Yosemite National Park,2009,10,346826
Yosemite National Park,2009,11,151297
Yosemite National Park,2009,12,110545
Zion National Park,2018,1,107960
Zion National Park,2018,2,127790
Zion National Park,2018,3,373523
Zion National Park,2018,4,483487
Zion National Park,2018,5,500118
Zion National Park,2018,6,541464
Zion National Park,2018,7,500350
Zion National Park,2018,8,459415
Zion National Park,2018,9,481507
Zion National Park,2018,10,377826
Zion National Park,2018,11,218799
Zion National Park,2018,12,147794
Zion National Park,2017,1,88561
Zion National Park,2017,2,110569
Zion National Park,2017,3,345476
Zion National Park,2017,4,515652
Zion National Park,2017,5,509017
Zion National Park,2017,6,533252
Zion National Park,2017,7,576349
Zion National Park,2017,8,529684
Zion National Park,2017,9,512940
Zion National Park,2017,10,422377
Zion National Park,2017,11,222069
Zion National Park,2017,12,138866
Zion National Park,2016,1,84145
Zion National Park,2016,2,117510
Zion National Park,2016,3,359920
Zion National Park,2016,4,395768
Zion National Park,2016,5,447976
Zion National Park,2016,6,544890
Zion National Park,2016,7,599961
Zion National Park,2016,8,477507
Zion National Park,2016,9,497825
Zion National Park,2016,10,412916
Zion National Park,2016,11,232271
Zion National Park,2016,12,124438
Zion National Park,2015,1,78318
Zion National Park,2015,2,106314
Zion National Park,2015,3,291118
Zion National Park,2015,4,392417
Zion National Park,2015,5,400048
Zion National Park,2015,6,458546
Zion National Park,2015,7,479538
Zion National Park,2015,8,455487
Zion National Park,2015,9,394201
Zion National Park,2015,10,314966
Zion National Park,2015,11,180390
Zion National Park,2015,12,97503
Zion National Park,2014,1,70862
Zion National Park,2014,2,74625
Zion National Park,2014,3,226424
Zion National Park,2014,4,312381
Zion National Park,2014,5,391969
Zion National Park,2014,6,397753
Zion National Park,2014,7,407153
Zion National Park,2014,8,391973
Zion National Park,2014,9,340855
Zion National Park,2014,10,304108
Zion National Park,2014,11,169607
Zion National Park,2014,12,101986
Zion National Park,2013,1,56972
Zion National Park,2013,2,64994
Zion National Park,2013,3,227899
Zion National Park,2013,4,292765
Zion National Park,2013,5,313594
Zion National Park,2013,6,367217
Zion National Park,2013,7,379129
Zion National Park,2013,8,345014
Zion National Park,2013,9,339593
Zion National Park,2013,10,203056
Zion National Park,2013,11,141251
Zion National Park,2013,12,75903
Zion National Park,2012,1,68202
Zion National Park,2012,2,74382
Zion National Park,2012,3,165242
Zion National Park,2012,4,352192
Zion National Park,2012,5,343488
Zion National Park,2012,6,370280
Zion National Park,2012,7,392359
Zion National Park,2012,8,364857
Zion National Park,2012,9,355140
Zion National Park,2012,10,276134
Zion National Park,2012,11,140350
Zion National Park,2012,12,70981
Zion National Park,2011,1,64524
Zion National Park,2011,2,67801
Zion National Park,2011,3,164037
Zion National Park,2011,4,255813
Zion National Park,2011,5,325089
Zion National Park,2011,6,376453
Zion National Park,2011,7,391144
Zion National Park,2011,8,360196
Zion National Park,2011,9,324727
Zion National Park,2011,10,273876
Zion National Park,2011,11,145158
Zion National Park,2011,12,76687
Zion National Park,2010,1,54928
Zion National Park,2010,2,62099
Zion National Park,2010,3,171079
Zion National Park,2010,4,277599
Zion National Park,2010,5,304278
Zion National Park,2010,6,331185
Zion National Park,2010,7,362881
Zion National Park,2010,8,332796
Zion National Park,2010,9,319838
Zion National Park,2010,10,236316
Zion National Park,2010,11,143272
Zion National Park,2010,12,69701
Zion National Park,2009,1,60204
Zion National Park,2009,2,62964
Zion National Park,2009,3,167246
Zion National Park,2009,4,271709
Zion National Park,2009,5,296330
Zion National Park,2009,6,366004
Zion National Park,2009,7,368933
Zion National Park,2009,8,372157
Zion National Park,2009,9,306161
Zion National Park,2009,10,265095
Zion National Park,2009,11,132998
Zion National Park,2009,12,65601
